,SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE.1,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
11,1,-122.3338311,47.54737114,15,38800,38800,C654800,Matched,Intersection,33194.0,1ST AV S BR NB AND EAST MARGINAL WAY S,,,1,Property Damage Only Collision,Angles,2,0,0,2,2005/08/11 00:00:00+00,8/11/2005 5:30:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5223041.0,,10,Entering at angle,0,0,N
12,1,-122.3562726,47.57137519,16,2771,2771,1211870,Unmatched,Block,,SW SPOKANE ST BETWEEN SW SPOKANE W BR AND TERMINAL 5 ACCESS RP, ,,1,Property Damage Only Collision,Rear Ended,0,0,0,2,2006/05/17 00:00:00+00,5/17/2006 12:51:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Raining,Wet,Dark - Street Lights On,,3137016.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
13,1,-122.3239663,47.60637435,17,32800,32800,2128498,Matched,Block,,TERRY AVE BETWEEN JAMES ST AND CHERRY ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/12/22 00:00:00+00,12/22/2005 5:13:00 PM,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Raining,Wet,Dark - No Street Lights,,5356027.0,,32,One parked--one moving,0,0,N
14,2,-122.3174136,47.66402754,19,1212,1212,3507861,Matched,Block,,ROOSEVELT WAY NE BETWEEN NE 47TH ST AND NE 50TH ST, ,,2,Injury Collision,Head On,2,0,0,2,2013/03/31 00:00:00+00,3/31/2013 2:09:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - Street Lights On,,,,30,From opposite direction - all others,0,0,N
15,1,-122.33766329999999,47.61751004,20,330878,332378,3838086,Unmatched,Block,,9TH AVE BETWEEN LENORA ST AND BLANCHARD ST, ,,1,Property Damage Only Collision,,1,0,0,0,2020/04/20 00:00:00+00,4/20/2020,Driveway Junction,26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,,,,,,,, ,,0,0,N
16,2,-122.34453909999998,47.69201179,21,46300,46300,2023080,Matched,Intersection,37365.0,AURORA AVE N AND N 87TH ST,,,2,Injury Collision,Left Turn,3,0,0,2,2005/07/01 00:00:00+00,7/1/2005,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,5182022.0,,28,From opposite direction - one left turn - one straight,0,0,N
17,1,,,23,23000,23000,537838,Matched,Block,,BATTERY ST TUN ON RP BETWEEN BELL ST AND ALASKAN WY VI NB,,,1,Property Damage Only Collision,Rear Ended,0,0,0,2,2004/01/16 00:00:00+00,1/16/2004 8:25:00 AM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,4016025.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
18,2,-122.3282695,47.57142045,24,330833,332333,EA29752,Matched,Block,,S SPOKANE SR ST BETWEEN 4TH AVE S AND 5TH AVE S, ,,2,Injury Collision,Rear Ended,4,0,0,3,2020/04/17 00:00:00+00,4/17/2020 2:44:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
19,1,-122.3838024,47.58371492,25,97100,97100,2894590,Matched,Block,,41ST AVE SW BETWEEN SW WALKER ST AND SW COLLEGE N ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2009/06/01 00:00:00+00,6/1/2009,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Unknown,Dry,Unknown,,9152035.0,,32,One parked--one moving,0,0,N
20,2,-122.2924031,47.7328465,26,1347,1347,3608880,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 143RD ST AND NE 145TH ST, ,,2,Injury Collision,Rear Ended,3,0,0,2,2013/03/27 00:00:00+00,3/27/2013 8:45:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
21,2,-122.31378590000001,47.70853522,28,1323,1323,3502831,Matched,Intersection,36505.0,14TH AVE NE AND NE NORTHGATE WAY, ,,2,Injury Collision,Angles,5,0,0,3,2013/03/28 00:00:00+00,3/28/2013 4:22:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
22,1,-122.31816880000001,47.61583703,29,80000,80000,2882620,Matched,Block,,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/07/18 00:00:00+00,7/18/2008 10:02:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Clear,Dry,Dark - Street Lights On,,8200013.0,,32,One parked--one moving,0,0,N
23,1,-122.33748600000001,47.58974639,31,28700,28700,1213894,Matched,Block,,ALASKAN WY VI SB BETWEEN ALASKAN WY VI SB EFR OFF RP AND S HOLGATE ST,,,1,Property Damage Only Collision,Other,1,0,0,1,2004/09/12 00:00:00+00,9/12/2004 6:20:00 AM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Unknown,Unknown,Unknown,,4256026.0,,51,Other object,0,0,N
24,2,-122.2796585,47.553404799999996,33,1268,1268,3672152,Matched,Intersection,33499.0,RAINIER AVE S AND S BRANDON ST, ,,2,Injury Collision,Rear Ended,3,0,0,2,2013/03/31 00:00:00+00,3/31/2013 10:05:00 AM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,Y,14,From same direction - both going straight - one stopped - rear-end,0,0,N
25,2,-122.31285729999999,47.5992175,34,320932,322432,E926429,Matched,Block,,S JACKSON ST BETWEEN 14TH AVE S AND 16TH AVE S, ,,2,Injury Collision,Cycles,2,0,1,1,2019/04/25 00:00:00+00,4/25/2019 9:40:00 AM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N
26,1,-122.3307297,47.61544972,35,113300,113300,3346338,Matched,Intersection,29865.0,BOREN AVE AND OLIVE WAY,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,2010/11/13 00:00:00+00,11/13/2010 3:24:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Wet,Unknown,,10317016.0,,28,From opposite direction - one left turn - one straight,0,0,N
27,1,-122.3858591,47.58119072,36,64700,64700,2798260,Matched,Block,,SW ADMIRAL WAY BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,,,1,Property Damage Only Collision,Angles,2,0,0,2,2007/07/23 00:00:00+00,7/23/2007 4:30:00 PM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,7204015.0,,10,Entering at angle,0,0,N
28,1,-122.3049896,47.61147434,37,1083,1083,3605909,Matched,Block,,21ST AVE BETWEEN E MARION ST AND E UNION ST, ,,1,Property Damage Only Collision,Other,2,0,0,2,2013/03/25 00:00:00+00,3/25/2013 2:42:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,23,From same direction - all others,0,0,N
29,1,,,38,61500,61500,2607270,Matched,Block,,1ST AVE S BETWEEN 1ST AVS ON N RP AND S ROYAL BROUGHAM WAY,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/11/16 00:00:00+00,11/16/2006 11:00:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,6320040.0,,32,One parked--one moving,0,0,N
30,1,-122.32474930000001,47.6055547,39,40800,40800,2108924,Matched,Intersection,29959.0,9TH AVE AND JAMES ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2005/11/05 00:00:00+00,11/5/2005,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,5309055.0,,28,From opposite direction - one left turn - one straight,0,0,N
31,1,-122.32073740000001,47.60170036,40,27800,27800,1472949,Matched,Intersection,30413.0,BROADWAY AND YESLER WAY,,,1,Property Damage Only Collision,Left Turn,6,0,0,2,2004/07/21 00:00:00+00,7/21/2004 3:12:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dark - Street Lights On,,4203028.0,,28,From opposite direction - one left turn - one straight,0,0,N
32,1,-122.29299440000001,47.57697444,41,18900,18900,1779571,Matched,Intersection,31510.0,31ST AVE S AND S MOUNT BAKER WB BV,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/06/17 00:00:00+00,6/17/2004 9:45:00 AM,At Intersection (but not related to intersection),34,DRIVERLESS VEHICLE STRUCK MOTOR VEHICLE REAR END,,0,Clear,Dry,Daylight,,4169011.0,,32,One parked--one moving,0,0,N
33,1,-122.2771748,47.5267845,42,69700,69700,2806828,Matched,Block,,RENTON AVE S BETWEEN S CAMANO PL AND S CLOVERDALE ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,2,2007/02/22 00:00:00+00,2/22/2007 8:32:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,1,Clear,Dry,Dark - Street Lights On,,7053037.0,,32,One parked--one moving,0,0,N
34,1,-122.3127689,47.61489164,43,20500,20500,1788144,Matched,Block,,15TH AVE BETWEEN E MADISON ST AND E PINE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/03/25 00:00:00+00,3/25/2004 4:45:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Other,Unknown,Daylight,,4085019.0,,32,One parked--one moving,0,0,N
35,1,-122.31874140000001,47.67656667,44,320910,322410,E925173,Matched,Block,,NE 66TH ST BETWEEN 8TH AVE NE AND ROOSEVELT WAY NE, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/04/27 00:00:00+00,4/27/2019 1:26:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Raining,Wet,Daylight,,,,32,One parked--one moving,0,0,Y
36,1,-122.3357273,47.61336283,45,330925,332425,3838128,Unmatched,Block,,OLIVE WAY BETWEEN 6TH AVE AND 7TH AVE, ,,1,Property Damage Only Collision,,4,0,0,0,2020/03/13 00:00:00+00,3/13/2020,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
37,1,-122.26459440000001,47.52388215,46,63300,63300,2610754,Matched,Block,,SEWARD PARK AVE S BETWEEN HAMLET AVE S AND S HENDERSON ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/08/11 00:00:00+00,8/11/2006 4:12:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,6223042.0,,32,One parked--one moving,0,0,N
38,1,-122.3708503,47.67596702,47,1079,1079,3568597,Matched,Intersection,24209.0,11TH AVE NW AND NW 65TH E ST, ,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2013/03/25 00:00:00+00,3/25/2013 5:54:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - Street Lights On,,,,28,From opposite direction - one left turn - one straight,0,0,N
39,1,-122.3855774,47.55209117,48,59600,59600,2613682,Matched,Intersection,32804.0,42ND AVE SW AND SW FINDLAY ST,,,1,Property Damage Only Collision,Angles,6,0,0,2,2006/08/19 00:00:00+00,8/19/2006 12:09:00 PM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,6231020.0,,10,Entering at angle,0,0,N
40,1,-122.3151926,47.71219775,50,51100,51100,C672097,Matched,Intersection,36476.0,PINEHURST WAY NE AND NE 115TH ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2006/08/05 00:00:00+00,8/5/2006,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6217046.0,,10,Entering at angle,0,0,N
41,1,-122.33209479999998,47.52694756,51,36400,36400,C659779,Matched,Intersection,35173.0,CLOVERDALE ST OFF RP AND S CLOVERDALE ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2005/11/23 00:00:00+00,11/23/2005 8:30:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights On,,5327037.0,,10,Entering at angle,0,0,N
42,1,-122.32906229999999,47.58617012,52,1367,1367,3671783,Matched,Intersection,31348.0,4TH AVE S AND S HOLGATE ST, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2013/04/02 00:00:00+00,4/2/2013 1:25:00 PM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,13,From same direction - both going straight - both moving - rear-end,0,0,N
43,2,-122.33734799999999,47.52047166,53,56100,56100,2619853,Matched,Block,,OLSON PL SW BETWEEN 2ND AVE SW AND 3RD AVE SW,,,2,Injury Collision,Other,1,0,0,1,2006/09/13 00:00:00+00,9/13/2006 10:46:00 PM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Raining,Wet,Dark - Street Lights On,,6256005.0,Y,50,Fixed object,0,0,N
44,1,-122.3473466,47.70179864,54,34500,34500,2184903,Matched,Block,,LINDEN AVE N BETWEEN N 100TH ST AND N 101ST ST,,,1,Property Damage Only Collision,Other,1,0,0,1,2005/12/15 00:00:00+00,12/15/2005 9:44:00 AM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Overcast,Wet,Daylight,,5349038.0,,50,Fixed object,0,0,N
45,1,-122.30748659999999,47.59229464,55,320886,322386,E921644,Matched,Block,,HIAWATHA PL S BETWEEN S BUSH PL AND DEAD END, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/05/17 00:00:00+00,5/17/2019 7:41:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
46,1,-122.40810549999999,47.57681808,56,1193,1193,3380606,Matched,Block,,59TH AVE SW BETWEEN SW STEVENS ST AND SW ADMIRAL WAY, ,,1,Property Damage Only Collision,Parked Car,3,0,0,2,2013/03/29 00:00:00+00,3/29/2013 3:18:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
47,1,-122.32334879999999,47.71111241,57,330873,332373,3836351,Matched,Block,,5TH AVE NE BETWEEN NE 112TH N ST AND NE 115TH ST, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2020/04/08 00:00:00+00,4/8/2020 7:31:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
48,1,-122.34454779999999,47.69273738,58,45000,45000,2058928,Matched,Intersection,37353.0,AURORA AVE N AND N 88TH N ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,3,2005/10/26 00:00:00+00,10/26/2005 7:24:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5299010.0,,28,From opposite direction - one left turn - one straight,0,0,N
49,2,-122.2799128,47.68856432,59,33100,33100,C645648,Matched,Block,,45TH AVE NE BETWEEN NE 80TH ST AND NE 86TH ST,,,2,Injury Collision,Other,2,0,0,2,2005/03/16 00:00:00+00,3/16/2005 10:45:00 AM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5075051.0,,22,One car leaving driveway access,0,0,N
50,1,-122.3865836,47.58025274,60,1235,1235,3465580,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW ADMIRAL WAY AND SW LANDER ST, ,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 8:00:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - Street Lights On,,,,12,From same direction - both going straight - one stopped - sideswipe,0,0,N
51,1,-122.3148453,47.59076764,61,1174,1174,3672287,Matched,Block,,14TH AVE S BETWEEN S JUDKINS ST AND S ATLANTIC ST, ,,1,Property Damage Only Collision,Parked Car,3,0,0,3,2013/03/26 00:00:00+00,3/26/2013 2:37:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,N
52,2,-122.32891310000001,47.61346582,62,1290,1290,3581633,Matched,Intersection,29878.0,BOREN AVE AND PIKE ST, ,,2,Injury Collision,Cycles,3,0,1,1,2013/03/29 00:00:00+00,3/29/2013 11:53:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear,Dry,Unknown,Y,,,45,Vehicle - Pedalcyclist,25242,0,N
53,2,-122.3078655,47.57091479,63,330824,332324,3803369,Unmatched,Intersection,573394.0,BEACON AVE S AND BEACON WR N AVE S, ,,2,Injury Collision,,2,0,0,0,2020/04/18 00:00:00+00,4/18/2020,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
54,2,-122.3296081,47.59030825,64,111200,111200,3325707,Matched,Block,,EDGAR MARTINEZ DR S BETWEEN S ATLANTIC ST OFF RP AND 4TH AVE SB OFF RP,,,2,Injury Collision,Rear Ended,3,0,0,3,2010/07/02 00:00:00+00,7/2/2010 10:00:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,10183030.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
55,1,-122.312048,47.62050127,65,54300,54300,1071449,Matched,Block,,E THOMAS ST BETWEEN 15TH S AVE E AND 16TH AVE E,,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,2006/04/01 00:00:00+00,4/1/2006,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Raining,Wet,Dark - Street Lights On,,6091020.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
56,2,-122.33310390000001,47.60797946,68,1365,1365,3643908,Matched,Intersection,29929.0,5TH AVE AND SENECA ST, ,,2,Injury Collision,Angles,2,0,0,2,2013/04/02 00:00:00+00,4/2/2013 7:07:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dusk,,,,10,Entering at angle,0,0,N
57,1,-122.3189025,47.68674595,69,31900,31900,1780156,Matched,Block,,NE 80TH ST BETWEEN 8TH AVE NE AND ROOSEVELT WAY NE,,,1,Property Damage Only Collision,Angles,6,0,0,2,2004/02/28 00:00:00+00,2/28/2004 9:55:00 PM,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dark - Street Lights On,,4059020.0,,10,Entering at angle,0,0,N
58,2,-122.3473385,47.66144499,70,320865,322365,E937655,Matched,Block,,AURORA AVE N BETWEEN N PHINNEY WAY AND N 46 UPPER ST, ,,2,Injury Collision,Rear Ended,3,0,0,2,2019/07/05 00:00:00+00,7/5/2019 7:08:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Overcast,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
59,1,-122.3024334,47.60215623,71,1221,1221,3605916,Matched,Block,,23RD AVE BETWEEN E YESLER WAY AND E FIR ST, ,,1,Property Damage Only Collision,Rear Ended,3,0,0,2,2013/03/30 00:00:00+00,3/30/2013 6:14:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,13,From same direction - both going straight - both moving - rear-end,0,0,N
